,median_rent_pct_income,median_rent_pct_income_moe,zip
667,-666666666.0,-222222222.0,02779
668,32.9,2.0,02780
669,32.4,14.5,02790
670,-666666666.0,-222222222.0,02791
671,-666666666.0,-222222222.0,02802
672,25.5,23.4,02804
673,32.9,6.1,02806
674,-666666666.0,-222222222.0,02807
675,47.4,49.6,02808
676,27.0,2.1,02809
677,-666666666.0,-222222222.0,02812
678,51.0,-333333333.0,02813
679,42.4,9.0,02814
680,-666666666.0,-222222222.0,02815
681,32.2,9.1,02816
682,29.0,11.9,02817
683,27.8,4.6,02818
684,51.0,-333333333.0,02822
685,-666666666.0,-222222222.0,02823
686,-666666666.0,-222222222.0,02824
687,37.4,21.4,02825
688,-666666666.0,-222222222.0,02826
689,13.6,11.5,02827
690,38.5,24.8,02828
691,-666666666.0,-222222222.0,02829
692,28.2,10.5,02830
693,9.0,-333333333.0,02831
694,31.7,3.4,02832
695,29.0,3.1,02833
696,30.6,14.7,02835
697,-666666666.0,-222222222.0,02836
698,51.0,-333333333.0,02837
699,24.9,8.5,02838
700,-666666666.0,-222222222.0,02839
701,32.1,2.7,02840
702,21.5,21.5,02841
703,28.6,3.1,02842
704,27.5,2.7,02852
705,29.7,24.1,02857
706,-666666666.0,-222222222.0,02858
707,21.6,10.4,02859
708,29.3,2.3,02860
709,24.9,2.3,02861
710,32.6,2.6,02863
711,29.1,3.9,02864
712,27.3,3.1,02865
713,29.9,4.7,02871
714,-666666666.0,-222222222.0,02872
715,-666666666.0,-222222222.0,02873
716,12.8,41.3,02874
717,-666666666.0,-222222222.0,02875
718,19.1,9.4,02876
719,26.0,2.8,02878
720,29.6,4.2,02879
721,34.5,29.7,02881
722,51.0,-333333333.0,02882
723,31.2,2.7,02885
724,31.2,1.8,02886
725,33.1,6.9,02888
726,31.9,7.5,02889
727,28.4,4.3,02891
728,30.4,4.4,02892
729,28.0,2.4,02893
730,-666666666.0,-222222222.0,02894
731,29.0,1.4,02895
732,25.3,8.0,02896
733,-666666666.0,-222222222.0,02898
734,29.6,2.4,02903
735,28.1,2.7,02904
736,31.0,3.8,02905
737,31.1,2.6,02906
738,32.6,6.2,02907
739,27.1,2.8,02908
740,28.1,2.5,02909
741,28.9,8.6,02910
742,24.6,6.5,02911
743,-666666666.0,-222222222.0,02912
744,32.6,4.7,02914
745,28.0,1.6,02915
746,27.9,5.3,02916
747,33.0,13.3,02917
748,-666666666.0,-222222222.0,02918
749,25.7,3.2,02919
750,27.8,2.5,02920
751,27.8,8.9,02921
752,27.2,7.7,03031
753,23.1,3.3,03032
754,26.1,9.5,03033
755,20.0,5.7,03034
756,-666666666.0,-222222222.0,03036
757,19.1,5.4,03037
758,30.8,4.2,03038
759,39.0,7.1,03042
760,51.0,-333333333.0,03043
761,51.0,-333333333.0,03044
762,34.2,6.2,03045
763,35.5,33.5,03046
764,30.6,9.6,03047
765,44.8,4.0,03048
766,23.9,1.8,03049
767,24.7,2.7,03051
768,51.0,-333333333.0,03052
769,29.6,4.4,03053
770,27.3,1.8,03054
771,29.8,4.3,03055
772,51.0,-333333333.0,03057
773,29.0,1.6,03060
774,28.2,2.0,03062
775,28.1,3.0,03063
776,29.0,3.1,03064
777,19.4,5.0,03070
778,31.1,3.4,03071
779,34.5,15.8,03076
780,24.9,3.5,03077
781,27.3,4.7,03079
782,29.9,14.0,03082
783,23.0,11.6,03084
784,35.2,30.9,03086
785,32.0,23.2,03087
786,24.9,4.2,03101
787,30.4,2.0,03102
788,30.5,1.8,03103
789,29.3,1.9,03104
790,24.7,6.9,03106
791,40.8,10.6,03109
792,40.4,15.7,03110
793,22.5,19.3,03215
794,41.1,15.4,03216
795,24.9,6.8,03217
796,19.4,3.7,03218
797,27.5,9.4,03220
798,29.3,5.7,03221
799,27.8,4.7,03222
800,38.9,37.1,03223
801,44.6,10.1,03224
802,44.2,18.4,03225
803,19.9,4.5,03226
804,30.5,6.8,03227
805,28.3,12.6,03229
806,24.8,6.9,03230
807,-666666666.0,-222222222.0,03231
808,-666666666.0,-222222222.0,03233
809,38.8,17.2,03234
810,26.7,3.3,03235
811,-666666666.0,-222222222.0,03237
812,-666666666.0,-222222222.0,03238
813,18.7,9.8,03240
814,28.9,10.3,03241
815,27.9,12.3,03242
816,-666666666.0,-222222222.0,03243
817,30.6,5.9,03244
818,23.3,1.2,03245
819,33.8,11.0,03246
820,35.3,8.9,03249
821,29.9,30.8,03251
822,29.7,5.1,03253
823,17.9,1.6,03254
824,30.0,4.3,03255
825,18.8,5.0,03256
826,33.3,5.3,03257
827,36.8,25.4,03258
828,-666666666.0,-222222222.0,03259
829,-666666666.0,-222222222.0,03260
830,23.2,3.6,03261
831,27.0,10.4,03262
832,35.2,5.9,03263
833,23.4,2.5,03264
834,28.7,4.0,03266
835,25.5,12.3,03268
836,23.0,4.6,03269
837,-666666666.0,-222222222.0,03273
838,31.2,8.9,03275
839,25.9,2.5,03276
840,28.9,6.4,03278
841,29.3,11.0,03279
842,22.5,2.3,03280
843,41.8,11.6,03281
844,19.5,10.2,03282
