ApprovalID,Address,ProjectID,ApprovalStatus,ProjectTitle,CensusBureauCategory,ApprovalCreation,ApprovalIssuance,AffordableUnits,DaysToIssuance,IsIssued,HasCategory,HasProjectID
2443143,11107 DOVERHILL RD,668939,Completed,No Plans  Bathroom Remodel,"Add/Alt 1 or 2 Fam, No Chg DU",7/6/2020,7/6/2020,3,0,1,1,1
2446043,1956 HORNBLEND ST Unit #4&5,668975,Completed,Digital - Hornblend Project,One Family Detached,7/14/2020,2/19/2021,2,220,1,1,1
2449898,220 MONTECITO WY,669878,Pending Invoice Payment,Digital - Montecito Apts.,Five or More Family Apt,7/22/2020,8/14/2023,2,1118,1,1,1
2448114,11483 AVENGER RD,670111,Completed,SFR No Plans Kitchen Remodel,"Add/Alt 1 or 2 Fam, No Chg DU",7/17/2020,7/17/2020,3,0,1,1,1
2448926,4384 HAMILTON ST,670161,Completed,Digital -Nok Nok NP Permit Now,Five or More Family Apt,7/21/2020,6/25/2021,2,339,1,1,1
2454005,15532 TANNER RIDGE RD,671367,Completed,NO PLAN KITCHEN/BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",8/3/2020,8/3/2020,3,0,1,1,1
2459637,429 W SAN YSIDRO BL,672431,Completed,Digital PN San Ysidro Apt Bldg,Five or More Family Apt,8/19/2020,12/4/2020,8,107,1,1,1
2459048,7980 MERRINGTON PL,672467,Completed,No Plan Kitchen Remodel,"Add/Alt 1 or 2 Fam, No Chg DU",8/18/2020,8/18/2020,3,0,1,1,1
2459614,11810 HANDRICH DR,672586,Completed,NO PLAN. KITCHEN REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",8/19/2020,8/19/2020,3,0,1,1,1
2481355,3840 06TH AV,672600,Completed,Digital-3840 6th Ave Hillcrest,Five or More Family Apt,10/16/2020,4/28/2022,4,559,1,1,1
2465959,3111 FENELON ST,673188,Completed,Digital-Fenelon St-Permit Now,Five or More Family Apt,9/8/2020,11/3/2021,3,421,1,1,1
2462563,18096 SENCILLO DR,673262,Completed,"NO PLAN. WINDOWS,RESTUCCO,SIDI","Add/Alt 1 or 2 Fam, No Chg DU",8/27/2020,9/9/2020,3,13,1,1,1
2466198,12535 MONTELLANO TR [Pending],674111,Completed,NO PLAN PRE FAB FIREPLACE REP,"Add/Alt 1 or 2 Fam, No Chg DU",9/9/2020,9/9/2020,3,0,1,1,1
2480561,1661 HARVEY MILK ST,674197,Completed,Digital - Harvey Milk Mixed,Five or More Family Apt,10/15/2020,7/19/2021,2,277,1,1,1
2466992,4717 MOUNT ALIFAN DR,674291,Completed,NO PLAN. KITCHEN/BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",9/11/2020,9/11/2020,3,0,1,1,1
2467367,11248 CAMINITO CORRIENTE,674390,Completed,SFR COMB NO PLAN BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",9/11/2020,9/11/2020,3,0,1,1,1
2467424,3525 WELLESLY AV,674407,Completed,NO PLAN. KITCHEN/BATH REMODEL,"Add/Alt 1 or 2 Fam, No Chg DU",9/14/2020,9/14/2020,3,0,1,1,1
2473264,1947 MEADE AV,675831,Completed,NO PLAN. KITCH/GARAGE REMOVAL,"Add/Alt 1 or 2 Fam, No Chg DU",9/30/2020,9/30/2020,3,0,1,1,1
