JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
SAN DIEGO,San Diego,2023.0,,5395810300,"2827 Broadway, San Diego, CA",General-Express-Building Construction:2827/Broadway,PMT-3258542,5+,Renter,2023-11-09,2,0,0,0.0,0.0,0.0,16.0,18.0,18.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4464112000,"2888 University Av, San Diego, CA",General-Express-Building Construction:3910/Kansas,PMT-3200916,5+,Renter,2023-01-29,2,0,0,0.0,0.0,0.0,28.0,30.0,30.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4363610800,"5455 Mildred St, San Diego, CA 92110",General-Standard-Building Construction:5455/Mildred,PMT-3204846,5+,Renter,2023-02-17,1,0,1,0.0,1.0,0.0,26.0,29.0,29.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4666101100,"6010 El Cajon Bl, San Diego, CA 92115",Actively Managed-Express-Building Construction:6010/El Cajon,PMT-3251713,5+,Renter,2023-10-10,12,0,8,0.0,12.0,0.0,203.0,235.0,235.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4445021000,"4160 Bachman Pl, San Diego, CA",General-Express-Building Construction:4160/Bachman,PMT-3198638,5+,Renter,2023-01-13,3,0,2,0.0,3.0,0.0,47.0,55.0,55.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4370301100,"6625 Linda Vista Rd, San Diego, CA",General-Standard-Building Construction:6625/Linda Vista,PMT-3252267,5+,Renter,2023-10-13,3,0,2,0.0,3.0,0.0,82.0,90.0,90.0,0.0,,Yes,,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,298-510-06-00,1512 UNO VERDE CT,Hsueh JADU,B22-0784,ADU,Renter,2023-05-15,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,No,No,Pending,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2636522800,1128 SAN RICARDO CT,Johnson ADU,B23-0749,ADU,Renter,2023-11-02,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,No,No,Approved,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2983910400,1005 HIGHLAND DR,Novak ADU,B23-0415,ADU,Renter,2023-12-19,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,No,No,Withdrawn,Ministerial,
SOLANA BEACH,San Diego,2023.0,,2980510300,305 S SIERRA AVE,Gobar ADU,B23-0721,ADU,Renter,2023-11-09,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,No,No,Pending,Ministerial,
SAN DIEGO,San Diego,2023.0,,4240511100,"2061 Garnet Av, San Diego, CA",Professional Certification Process-Discretionary Project:2061/Garnet,PMT-3198586,ADU,Renter,2023-01-13,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Discretionary,
SAN DIEGO,San Diego,2023.0,,3506121100,"7442 Girard Av, San Diego, CA",Standard-Girard Microunits CDP,PMT-3206884,5+,Renter,2023-02-28,4,0,3,0.0,4.0,0.0,21.0,32.0,32.0,0.0,,Yes,,Approved,Discretionary,
SAN DIEGO,San Diego,2023.0,,5452922200,"3064 Imperial Av, San Diego, CA",,PMT-3223794,2 to 4,Renter,2023-05-24,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2712 Everly Dr, San Diego, CA",,PMT-3231168,5+,Renter,2023-06-29,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130111300,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199717,2 to 4,Renter,2023-01-21,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130111300,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199740,2 to 4,Renter,2023-01-22,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130600600,"11027 Mason Ln, San Diego, CA",,PMT-3199710,2 to 4,Renter,2023-01-21,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130600600,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199722,2 to 4,Renter,2023-01-21,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130111300,"11047 Mason Ln, San Diego, CA",,PMT-3199708,2 to 4,Renter,2023-01-21,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130600600,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199735,2 to 4,Renter,2023-01-22,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130111300,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199744,2 to 4,Renter,2023-01-22,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130111300,"11511 Caden Ln, San Diego, CA",,PMT-3199698,2 to 4,Renter,2023-01-21,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130111300,"11422 Caden Lp, San Diego, CA 92129",,PMT-3199714,2 to 4,Renter,2023-01-21,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",,PMT-3205274,2 to 4,Renter,2023-02-21,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",,PMT-3205273,2 to 4,Renter,2023-02-21,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",,PMT-3205277,2 to 4,Renter,2023-02-21,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3504121400,"420 Pearl St, San Diego, CA 92037",,PMT-3197265,2 to 4,Renter,2023-01-06,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4507810900,"3152 Meadow Grove Dr, San Diego, CA 92110",,PMT-3252396,2 to 4,Renter,2023-10-13,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2637 Everly Dr, San Diego, CA",Express- Master Plan MDU:8080/Friars,PMT-3250272,5+,Renter,2023-10-03,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2514 Everly Ct, San Diego, CA",Express- Master Plan MDU:8080/Friars,PMT-3250284,5+,Renter,2023-10-03,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,6774001800,"2624 Everly Dr, San Diego, CA",Express- Master Plan MDU:8080/Friars,PMT-3250271,5+,Renter,2023-10-03,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5332021200,"420 Ivy St, San Diego, CA",Actively Managed-Express-Building Construction:2191/04th,PMT-3196556,5+,Renter,2023-01-04,2,0,2,0.0,2.0,0.0,63.0,69.0,69.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4240620300,"2155 Balboa Av, San Diego, CA",General-Express-Building Construction:2155/Balboa,PMT-3256415,5+,Renter,2023-11-03,4,0,0,0.0,0.0,0.0,30.0,34.0,34.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4660501200,"5863 Hardy Av, San Diego, CA 92115",General-Standard-Building Construction:5863/Hardy,PMT-3208350,5+,Renter,2023-03-06,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3150205500,"10198 1/3 Paseo Montril, San Diego, CA",Express- Master Plan MDU:10198/Paseo Montril,PMT-3260016,5+,Renter,2023-11-20,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3150205500,"10198 1/3 Paseo Montril, San Diego, CA",Express- Master Plan MDU:10198/Paseo Montril,PMT-3260009,5+,Renter,2023-11-20,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5333531100,"1620 Union St, San Diego, CA 92101",Actively Managed-Express-Building Construction:1620/Union,PMT-3196614,5+,Renter,2023-01-04,3,0,2,0.0,3.0,0.0,65.0,73.0,73.0,0.0,,Yes,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3150205500,"10198 1/3 Paseo Montril, San Diego, CA",Express- Master Plan MDU:10198/Paseo Montril,PMT-3260018,5+,Renter,2023-11-20,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5490522200,"628 Fergus St, San Diego, CA",General-Express-Building Construction:628/Fergus,PMT-3200194,5+,Renter,2023-01-24,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4474822600,"3854 39th St, San Diego, CA",General-Standard-Building Construction:3852/39th,PMT-3243970,5+,Renter,2023-08-28,0,0,0,0.0,5.0,0.0,7.0,12.0,12.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5453810900,"3163 Imperial Av, San Diego, CA",General-Standard-Building Construction:3161/Imperial,PMT-3217314,5+,Renter,2023-04-21,0,0,0,0.0,7.0,0.0,8.0,15.0,15.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4526650100,"2881 04th Av, San Diego, CA",General-Express-Building Construction:2881/04th,PMT-3232453,5+,Renter,2023-07-07,3,0,2,0.0,3.0,0.0,82.0,90.0,90.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,4370300400,"6675 Linda Vista Rd, San Diego, CA",General-Express-Building Construction:6675/Linda Vista,PMT-3234061,2 to 4,Renter,2023-07-14,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235825,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235830,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3235881,5+,Renter,2023-07-21,0,0,0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,3130430900,"14050 Carmel Ridge Rd, San Diego, CA",Express- Master Plan MDU:14050/Carmel Ridge,PMT-3213912,5+,Renter,2023-04-05,0,0,0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,No,,Approved,Ministerial,
SAN DIEGO,San Diego,2023.0,,5331330700,"2132 Brant St, San Diego, CA 92101",General-Express-Building Construction:2132/Brant,PMT-3261223,5+,Renter,2023-11-29,0,0,0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,,No,,Approved,Ministerial,
