,B25071_001E,B25071_001EA,B25071_001M,B25071_001MA,GEO_ID,NAME,state,county,tract
455,51.0,50.0+,-333333333.0,***,1400000US06073016620,,06,073,016620
456,42.3,,18.3,,1400000US06073016621,,06,073,016621
457,23.5,,5.1,,1400000US06073016703,,06,073,016703
458,34.7,,6.0,,1400000US06073016704,,06,073,016704
459,36.1,,3.5,,1400000US06073016705,,06,073,016705
460,34.1,,3.5,,1400000US06073016706,,06,073,016706
461,31.9,,10.8,,1400000US06073016804,,06,073,016804
462,29.4,,7.0,,1400000US06073016806,,06,073,016806
463,42.5,,14.1,,1400000US06073016807,,06,073,016807
464,28.5,,4.6,,1400000US06073016809,,06,073,016809
465,51.0,50.0+,-333333333.0,***,1400000US06073016810,,06,073,016810
466,27.4,,4.3,,1400000US06073016811,,06,073,016811
467,23.8,,8.9,,1400000US06073016812,,06,073,016812
468,33.4,,9.7,,1400000US06073016813,,06,073,016813
469,42.4,,38.1,,1400000US06073016901,,06,073,016901
470,33.2,,14.0,,1400000US06073016902,,06,073,016902
471,34.8,,24.0,,1400000US06073017006,,06,073,017006
472,32.1,,6.2,,1400000US06073017009,,06,073,017009
473,25.0,,10.4,,1400000US06073017010,,06,073,017010
474,40.3,,24.4,,1400000US06073017014,,06,073,017014
475,37.8,,9.0,,1400000US06073017018,,06,073,017018
476,29.7,,30.7,,1400000US06073017020,,06,073,017020
477,23.5,,17.1,,1400000US06073017021,,06,073,017021
478,34.0,,5.4,,1400000US06073017022,,06,073,017022
479,26.2,,2.2,,1400000US06073017031,,06,073,017031
480,38.7,,15.7,,1400000US06073017033,,06,073,017033
481,32.2,,3.2,,1400000US06073017034,,06,073,017034
482,28.3,,3.3,,1400000US06073017035,,06,073,017035
483,19.8,,10.6,,1400000US06073017036,,06,073,017036
484,38.1,,4.6,,1400000US06073017037,,06,073,017037
485,30.3,,22.3,,1400000US06073017039,,06,073,017039
486,36.6,,18.6,,1400000US06073017040,,06,073,017040
487,34.7,,10.4,,1400000US06073017041,,06,073,017041
488,33.5,,3.9,,1400000US06073017043,,06,073,017043
489,26.9,,14.9,,1400000US06073017044,,06,073,017044
490,17.5,,8.9,,1400000US06073017045,,06,073,017045
491,28.1,,3.7,,1400000US06073017046,,06,073,017046
492,22.2,,7.2,,1400000US06073017047,,06,073,017047
493,35.2,,7.5,,1400000US06073017048,,06,073,017048
494,22.0,,3.1,,1400000US06073017049,,06,073,017049
495,33.5,,15.1,,1400000US06073017050,,06,073,017050
496,29.1,,6.0,,1400000US06073017051,,06,073,017051
497,31.4,,4.1,,1400000US06073017052,,06,073,017052
498,26.8,,17.2,,1400000US06073017053,,06,073,017053
499,32.6,,8.8,,1400000US06073017054,,06,073,017054
500,24.6,,4.9,,1400000US06073017055,,06,073,017055
501,39.2,,5.2,,1400000US06073017056,,06,073,017056
502,32.8,,10.3,,1400000US06073017057,,06,073,017057
503,23.9,,10.0,,1400000US06073017058,,06,073,017058
504,51.0,50.0+,-333333333.0,***,1400000US06073017059,,06,073,017059
505,29.0,,41.5,,1400000US06073017060,,06,073,017060
506,51.0,50.0+,-333333333.0,***,1400000US06073017061,,06,073,017061
507,34.3,,51.9,,1400000US06073017062,,06,073,017062
508,31.9,,6.5,,1400000US06073017063,,06,073,017063
509,17.2,,2.7,,1400000US06073017064,,06,073,017064
510,33.4,,15.2,,1400000US06073017065,,06,073,017065
511,47.4,,31.9,,1400000US06073017066,,06,073,017066
512,30.9,,24.6,,1400000US06073017067,,06,073,017067
513,29.8,,5.8,,1400000US06073017068,,06,073,017068
514,30.5,,17.1,,1400000US06073017069,,06,073,017069
515,40.0,,9.6,,1400000US06073017070,,06,073,017070
516,37.6,,9.6,,1400000US06073017071,,06,073,017071
517,33.8,,6.3,,1400000US06073017104,,06,073,017104
518,30.9,,5.8,,1400000US06073017106,,06,073,017106
519,41.8,,17.6,,1400000US06073017107,,06,073,017107
520,24.0,,14.2,,1400000US06073017108,,06,073,017108
521,28.1,,5.2,,1400000US06073017109,,06,073,017109
522,46.4,,27.8,,1400000US06073017111,,06,073,017111
523,-666666666.0,-,-222222222.0,**,1400000US06073017112,,06,073,017112
524,32.3,,5.6,,1400000US06073017113,,06,073,017113
525,20.8,,12.0,,1400000US06073017201,,06,073,017201
526,34.5,,14.7,,1400000US06073017202,,06,073,017202
527,51.0,50.0+,-333333333.0,***,1400000US06073017303,,06,073,017303
528,26.4,,3.6,,1400000US06073017305,,06,073,017305
529,51.0,50.0+,-333333333.0,***,1400000US06073017306,,06,073,017306
530,23.5,,4.8,,1400000US06073017307,,06,073,017307
531,31.3,,19.5,,1400000US06073017308,,06,073,017308
532,42.4,,11.2,,1400000US06073017403,,06,073,017403
533,47.3,,40.2,,1400000US06073017405,,06,073,017405
534,24.0,,2.9,,1400000US06073017406,,06,073,017406
535,23.2,,5.2,,1400000US06073017407,,06,073,017407
536,26.0,,10.8,,1400000US06073017408,,06,073,017408
537,31.7,,5.0,,1400000US06073017501,,06,073,017501
538,28.5,,13.0,,1400000US06073017502,,06,073,017502
539,43.8,,9.5,,1400000US06073017601,,06,073,017601
540,32.6,,16.1,,1400000US06073017603,,06,073,017603
541,29.2,,13.1,,1400000US06073017605,,06,073,017605
542,30.3,,9.1,,1400000US06073017606,,06,073,017606
543,29.2,,7.6,,1400000US06073017701,,06,073,017701
544,33.9,,13.1,,1400000US06073017702,,06,073,017702
545,34.5,,8.0,,1400000US06073017801,,06,073,017801
546,31.1,,11.9,,1400000US06073017808,,06,073,017808
547,41.1,,27.0,,1400000US06073017809,,06,073,017809
